date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/13,2330,港商麥格理,1360,4705,107,4598,19.93,1,buy
8/13,2330,法銀巴黎,8900,124,3138,-3014,13.07,1,sell
8/13,2330,摩根大通,8440,2608,1602,1006,4.36,2,buy
8/13,2330,台灣摩根士丹利,1470,556,1262,-706,3.06,2,sell
8/13,2330,富邦證券,9600,1216,323,893,3.87,3,buy
8/13,2330,統一,5850,183,695,-512,2.22,3,sell
8/13,2330,花旗環球,1590,1321,552,769,3.33,4,buy
8/13,2330,國泰-敦南,8888,96,327,-231,1.0,4,sell
8/13,2330,國泰證券,8880,705,34,671,2.91,5,buy
8/13,2330,港商野村,1560,348,523,-175,0.76,5,sell
8/13,2330,凱基,9200,629,132,497,2.15,6,buy
8/13,2330,永豐金證券,0039004100300030,528,663,-135,0.59,6,sell
8/13,2330,美商高盛,1480,1093,639,454,1.97,7,buy
8/13,2330,美林,1440,690,820,-130,0.56,7,sell
8/13,2330,永豐金-匯立,0039004100380031,562,226,336,1.46,8,buy
8/13,2330,元大證券,9800,1067,1196,-129,0.56,8,sell
8/13,2330,新加坡商瑞銀,1650,944,642,302,1.31,9,buy
8/13,2330,兆豐證券,7000,15,131,-116,0.5,9,sell
8/13,2330,群益金鼎,9100,400,193,207,0.9,10,buy
8/13,2330,華南永昌-高雄,9303,7,111,-104,0.45,10,sell
8/13,2330,宏遠證券,1260,221,24,197,0.85,11,buy
8/13,2330,元大-北屯,0039003800390064,3,92,-89,0.39,11,sell
8/13,2330,香港上海匯豐,8960,253,80,173,0.75,12,buy
8/13,2330,中國信託-三重,6161,3,72,-69,0.3,12,sell
8/13,2330,元大-中和,0039003800390065,100,8,92,0.4,13,buy
8/13,2330,兆豐-新竹,0037003000300056,6,75,-69,0.3,13,sell
8/13,2330,台新-五權西,0039004200320035,83,4,79,0.34,14,buy
8/13,2330,富邦-仁愛,9676,34,98,-64,0.28,14,sell
8/13,2330,國票-敦北法人,0037003700390063,71,4,67,0.29,15,buy
8/13,2330,富邦-新竹,9647,12,76,-64,0.28,15,sell
8/13,2317,大和國泰,8890,1370,12,1358,1.42,1,buy
8/13,2317,台灣摩根士丹利,1470,1390,13784,-12394,12.94,1,sell
8/13,2317,國泰證券,8880,1180,228,952,0.99,2,buy
8/13,2317,新加坡商瑞銀,1650,2344,9824,-7480,7.81,2,sell
8/13,2317,國泰-敦南,8888,2064,1120,944,0.99,3,buy
8/13,2317,摩根大通,8440,1018,6226,-5208,5.44,3,sell
8/13,2317,康和,8450,861,50,811,0.85,4,buy
8/13,2317,元大證券,9800,4017,7956,-3939,4.11,4,sell
8/13,2317,花旗環球,1590,1439,657,782,0.82,5,buy
8/13,2317,美商高盛,1480,3887,6349,-2462,2.57,5,sell
8/13,2317,永豐金-匯立,0039004100380031,733,38,695,0.73,6,buy
8/13,2317,港商野村,1560,193,2389,-2196,2.29,6,sell
