date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/16,2330,永豐金證券,0039004100300030,1573,595,978,3.32,1,buy
7/16,2330,台灣摩根士丹利,1470,525,3387,-2862,9.7,1,sell
7/16,2330,港商麥格理,1360,1496,588,908,3.08,2,buy
7/16,2330,摩根大通,8440,2552,4468,-1916,6.5,2,sell
7/16,2330,元大證券,9800,2106,1207,899,3.05,3,buy
7/16,2330,花旗環球,1590,625,1331,-706,2.39,3,sell
7/16,2330,富邦證券,9600,1131,695,436,1.48,4,buy
7/16,2330,美林,1440,1531,2057,-526,1.78,4,sell
7/16,2330,群益金鼎,9100,533,99,434,1.47,5,buy
7/16,2330,統一-仁愛,0035003800350063,2,294,-292,0.99,5,sell
7/16,2330,美商高盛,1480,3162,2749,413,1.4,6,buy
7/16,2330,港商野村,1560,562,782,-220,0.75,6,sell
7/16,2330,富邦-南京,0039003600310043,276,15,261,0.88,7,buy
7/16,2330,台新-台北,0039004200320030,71,277,-206,0.7,7,sell
7/16,2330,國泰證券,8880,243,18,225,0.76,8,buy
7/16,2330,新加坡商瑞銀,1650,951,1155,-204,0.69,8,sell
7/16,2330,統一,5850,227,74,153,0.52,9,buy
7/16,2330,凱基-台北,9268,1130,1226,-96,0.33,9,sell
7/16,2330,玉山證券,8840,177,27,150,0.51,10,buy
7/16,2330,永豐金-萬盛,0039004100390032,7,65,-58,0.2,10,sell
7/16,2330,台中銀-台北,6115,150,0,150,0.51,11,buy
7/16,2330,富邦-台北,9623,41,95,-54,0.18,11,sell
7/16,2330,大和國泰,8890,143,8,135,0.46,12,buy
7/16,2330,華南永昌-南京,9326,11,64,-53,0.18,12,sell
7/16,2330,富邦-南屯,9666,127,19,108,0.37,13,buy
7/16,2330,富邦-建國,9658,28,79,-51,0.17,13,sell
7/16,2330,香港上海匯豐,8960,344,238,106,0.36,14,buy
7/16,2330,永豐金-中正,0039004100390055,9,58,-49,0.17,14,sell
7/16,2330,台新-五權西,0039004200320035,103,8,95,0.32,15,buy
