date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/14,2330,港商麥格理,1360,1832,22,1810,8.85,1,buy
8/14,2330,台灣摩根士丹利,1470,271,1603,-1332,6.51,1,sell
8/14,2330,國泰證券,8880,771,13,758,3.7,2,buy
8/14,2330,美商高盛,1480,705,1770,-1065,5.21,2,sell
8/14,2330,中國信託,6160,587,96,491,2.4,3,buy
8/14,2330,法銀巴黎,8900,43,962,-919,4.49,3,sell
8/14,2330,新加坡商瑞銀,1650,1921,1518,403,1.97,4,buy
8/14,2330,永豐金證券,0039004100300030,488,1396,-908,4.44,4,sell
8/14,2330,群益金鼎-北高雄,0039003100330052,205,1,204,1.0,5,buy
8/14,2330,元大證券,9800,499,1340,-841,4.11,5,sell
8/14,2330,德信,6910,206,6,200,0.98,6,buy
8/14,2330,港商野村,1560,1,607,-606,2.96,6,sell
8/14,2330,華南永昌-忠孝,9325,201,2,199,0.97,7,buy
8/14,2330,凱基-台北,9268,394,904,-510,2.49,7,sell
8/14,2330,花旗環球,1590,1239,1063,176,0.86,8,buy
8/14,2330,美林,1440,226,463,-237,1.16,8,sell
8/14,2330,華南永昌,9300,252,79,173,0.85,9,buy
8/14,2330,玉山-台南,8847,11,158,-147,0.72,9,sell
8/14,2330,凱基-站前,0039003200300046,182,12,170,0.83,10,buy
8/14,2330,元大-新生,0039003800310058,5,90,-85,0.42,10,sell
8/14,2330,摩根大通,8440,2043,1889,154,0.75,11,buy
8/14,2330,元大-竹科,003900380030004b,12,73,-61,0.3,11,sell
8/14,2330,宏遠證券,1260,186,41,145,0.71,12,buy
8/14,2330,永豐金-匯立,0039004100380031,639,698,-59,0.29,12,sell
8/14,2330,統一,5850,346,205,141,0.69,13,buy
8/14,2330,台新,0039004200300030,48,88,-40,0.2,13,sell
8/14,2330,國泰-敦南,8888,238,149,89,0.43,14,buy
8/14,2330,兆豐-三民,0037003000300068,4,39,-35,0.17,14,sell
8/14,2330,群益金鼎,9100,138,50,88,0.43,15,buy
8/14,2330,新光-高雄,8562,12,43,-31,0.15,15,sell
8/14,2317,港商麥格理,1360,4733,141,4592,9.0,1,buy
8/14,2317,永豐金證券,0039004100300030,192,4030,-3838,7.52,1,sell
8/14,2317,台灣摩根士丹利,1470,3686,2156,1530,3.0,2,buy
8/14,2317,摩根大通,8440,1230,3535,-2305,4.52,2,sell
8/14,2317,凱基-台北,9268,2138,1333,805,1.58,3,buy
8/14,2317,國票-敦北法人,0037003700390063,10,1308,-1298,2.54,3,sell
8/14,2317,永豐金-匯立,0039004100380031,1402,616,786,1.54,4,buy
8/14,2317,新加坡商瑞銀,1650,2017,2852,-835,1.64,4,sell
8/14,2317,統一,5850,687,84,603,1.18,5,buy
8/14,2317,港商野村,1560,30,865,-835,1.64,5,sell
8/14,2317,美商高盛,1480,4492,4182,310,0.61,6,buy
8/14,2317,大和國泰,8890,9,650,-641,1.26,6,sell
8/14,2317,台新,0039004200300030,691,402,289,0.57,7,buy
8/14,2317,香港上海匯豐,8960,86,629,-543,1.06,7,sell
8/14,2317,富邦-仁愛,9676,440,154,286,0.56,8,buy
8/14,2317,花旗環球,1590,482,908,-426,0.84,8,sell
8/14,2317,中國信託,6160,342,62,280,0.55,9,buy
8/14,2317,群益金鼎,9100,97,464,-367,0.72,9,sell
8/14,2317,台新-安南,003900420032005a,254,17,237,0.46,10,buy
8/14,2317,富邦-頭份,0039003600320050,24,375,-351,0.69,10,sell
8/14,2317,台新-三民,0039004200310033,250,16,234,0.46,11,buy
8/14,2317,富邦證券,9600,324,650,-326,0.64,11,sell
8/14,2317,富邦-台北,9623,325,105,220,0.43,12,buy
8/14,2317,國泰-台南,8884,73,296,-223,0.44,12,sell
8/14,2317,華南永昌-敦南,9347,242,43,199,0.39,13,buy
8/14,2317,統一-三多,0035003800350051,10,212,-202,0.4,13,sell
8/14,2317,富邦-南屯,9666,270,81,189,0.37,14,buy
8/14,2317,國票-南京,003700370039006e,65,258,-193,0.38,14,sell
8/14,2317,兆豐證券,7000,406,218,188,0.37,15,buy
8/14,2317,玉山-高雄,8843,69,244,-175,0.34,15,sell
8/14,2454,美商高盛,1480,1997,339,1658,15.55,1,buy
8/14,2454,元大證券,9800,550,1367,-817,7.66,1,sell
8/14,2454,富邦證券,9600,1547,423,1124,10.54,2,buy
8/14,2454,台灣摩根士丹利,1470,190,694,-504,4.73,2,sell
8/14,2454,港商麥格理,1360,761,0,761,7.14,3,buy
8/14,2454,摩根大通,8440,382,789,-407,3.82,3,sell
8/14,2454,中國信託,6160,428,52,376,3.53,4,buy
8/14,2454,凱基-台北,9268,321,729,-408,3.83,4,sell
8/14,2454,兆豐證券,7000,200,4,196,1.84,5,buy
8/14,2454,元大-土城永寧,9875,5,302,-297,2.79,5,sell
8/14,2454,永豐金證券,0039004100300030,382,192,190,1.78,6,buy
8/14,2454,國泰證券,8880,24,310,-286,2.68,6,sell
8/14,2454,香港上海匯豐,8960,117,10,107,1.0,7,buy
8/14,2454,台新-五權西,0039004200320035,1,162,-161,1.51,7,sell
8/14,2454,華南永昌,9300,70,11,59,0.55,8,buy
8/14,2454,新加坡商瑞銀,1650,207,363,-156,1.46,8,sell
8/14,2454,兆豐-民生,0037003000300063,42,2,40,0.38,9,buy
8/14,2454,凱基,9200,203,310,-107,1.0,9,sell
8/14,2454,土銀,1030,41,2,39,0.37,10,buy
8/14,2454,統一,5850,100,177,-77,0.72,10,sell
8/14,2454,美好-富順,003500320036004b,33,4,29,0.27,11,buy
8/14,2454,國泰-敦南,8888,78,145,-67,0.63,11,sell
8/14,2454,花旗環球,1590,69,45,24,0.23,12,buy
8/14,2454,凱基-站前,0039003200300046,31,97,-66,0.62,12,sell
8/14,2454,玉山-台南,8847,22,4,18,0.17,13,buy
8/14,2454,台新-台北,0039004200320030,2,49,-47,0.44,13,sell
8/14,2454,(牛牛牛)亞證券,6010,15,0,15,0.14,14,buy
8/14,2454,永豐金-匯立,0039004100380031,39,72,-33,0.31,14,sell
8/14,2454,國票-台南,0037003700390044,23,11,12,0.11,15,buy
8/14,2454,凱基-松山,9217,11,37,-26,0.24,15,sell
8/14,2308,永豐金-匯立,0039004100380031,1281,612,669,4.87,1,buy
8/14,2308,台灣摩根士丹利,1470,360,1732,-1372,9.99,1,sell
8/14,2308,法銀巴黎,8900,694,140,554,4.03,2,buy
8/14,2308,美商高盛,1480,760,1340,-580,4.22,2,sell
8/14,2308,永豐金證券,0039004100300030,636,191,445,3.24,3,buy
8/14,2308,新加坡商瑞銀,1650,295,727,-432,3.14,3,sell
8/14,2308,台新-台北,0039004200320030,404,8,396,2.88,4,buy
8/14,2308,摩根大通,8440,1030,1388,-358,2.61,4,sell
8/14,2308,中國信託,6160,416,38,378,2.75,5,buy
8/14,2308,花旗環球,1590,262,394,-132,0.96,5,sell
8/14,2308,港商麥格理,1360,352,30,322,2.34,6,buy
8/14,2308,元大-復北,9872,6,104,-98,0.71,6,sell
8/14,2308,美林,1440,782,485,297,2.16,7,buy
8/14,2308,統一,5850,34,131,-97,0.71,7,sell
8/14,2308,群益金鼎-敦南,9101,204,2,202,1.47,8,buy
8/14,2308,群益金鼎,9100,54,142,-88,0.64,8,sell
8/14,2308,國泰證券,8880,163,37,126,0.92,9,buy
8/14,2308,元大證券,9800,525,603,-78,0.57,9,sell
8/14,2308,富邦-永和,9654,126,18,108,0.79,10,buy
8/14,2308,元大-豐原站前,0039003800390057,4,72,-68,0.49,10,sell
8/14,2308,兆豐-民生,0037003000300063,102,3,99,0.72,11,buy
8/14,2308,康和,8450,22,85,-63,0.46,11,sell
8/14,2308,港商野村,1560,162,73,89,0.65,12,buy
8/14,2308,台新,0039004200300030,44,103,-59,0.43,12,sell
8/14,2308,國票-敦北法人,0037003700390063,83,2,81,0.59,13,buy
8/14,2308,臺銀,1040,7,66,-59,0.43,13,sell
8/14,2308,富邦-台北,9623,105,35,70,0.51,14,buy
8/14,2308,凱基,9200,14,60,-46,0.33,14,sell
8/14,2308,富邦證券,9600,208,141,67,0.49,15,buy
8/14,2308,凱基-站前,0039003200300046,21,65,-44,0.32,15,sell
8/14,2382,新加坡商瑞銀,1650,7211,572,6639,15.68,1,buy
8/14,2382,港商麥格理,1360,16,2970,-2954,6.98,1,sell
8/14,2382,台灣摩根士丹利,1470,5268,1329,3939,9.3,2,buy
8/14,2382,花旗環球,1590,175,2989,-2814,6.65,2,sell
8/14,2382,美商高盛,1480,3126,1188,1938,4.58,3,buy
8/14,2382,凱基-台北,9268,1602,3241,-1639,3.87,3,sell
8/14,2382,摩根大通,8440,2274,1335,939,2.22,4,buy
8/14,2382,元大證券,9800,4414,5635,-1221,2.88,4,sell
