date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/06,2330,港商麥格理,1360,1273,168,1105,5.31,1,buy
7/06,2330,摩根大通,8440,1293,2360,-1067,5.12,1,sell
7/06,2330,美商高盛,1480,1748,1070,678,3.26,2,buy
7/06,2330,美林,1440,928,1574,-646,3.1,2,sell
7/06,2330,凱基-台北,9268,646,232,414,1.99,3,buy
7/06,2330,台灣摩根士丹利,1470,1316,1708,-392,1.88,3,sell
7/06,2330,群益金鼎,9100,622,244,378,1.82,4,buy
7/06,2330,凱基-雙和,0039003200300043,2,293,-291,1.4,4,sell
7/06,2330,國泰證券,8880,372,64,308,1.48,5,buy
7/06,2330,花旗環球,1590,569,802,-233,1.12,5,sell
7/06,2330,台新-台北,0039004200320030,281,43,238,1.14,6,buy
7/06,2330,凱基-站前,0039003200300046,27,208,-181,0.87,6,sell
7/06,2330,法銀巴黎,8900,189,16,173,0.83,7,buy
7/06,2330,康和,8450,10,178,-168,0.81,7,sell
7/06,2330,凱基-三多,9275,217,44,173,0.83,8,buy
7/06,2330,兆豐證券,7000,18,179,-161,0.77,8,sell
7/06,2330,群益金鼎-敦南,9101,147,3,144,0.69,9,buy
7/06,2330,新加坡商瑞銀,1650,1458,1606,-148,0.71,9,sell
7/06,2330,凱基-永和,9207,143,3,140,0.67,10,buy
7/06,2330,美好-蘆洲,5261,13,90,-77,0.37,10,sell
7/06,2330,大和國泰,8890,140,17,123,0.59,11,buy
7/06,2330,彰銀-台中,1233,15,69,-54,0.26,11,sell
7/06,2330,港商野村,1560,286,170,116,0.56,12,buy
7/06,2330,國泰-敦南,8888,159,212,-53,0.25,12,sell
7/06,2330,富邦-南京,0039003600310043,108,11,97,0.47,13,buy
7/06,2330,元大-大雅,0039003800330069,5,58,-53,0.25,13,sell
7/06,2330,元大-草屯,0039003800390045,94,10,84,0.4,14,buy
7/06,2330,元大證券,9800,1224,1273,-49,0.24,14,sell
7/06,2330,元大-忠孝,9871,72,10,62,0.3,15,buy
7/06,2330,永豐金-萬盛,0039004100390032,12,58,-46,0.22,15,sell
7/06,2317,花旗環球,1590,3382,347,3035,6.96,1,buy
7/06,2317,美林,1440,1117,6890,-5773,13.23,1,sell
7/06,2317,群益金鼎,9100,1644,84,1560,3.58,2,buy
7/06,2317,美商高盛,1480,1500,4623,-3123,7.16,2,sell
7/06,2317,永豐金-匯立,0039004100380031,710,0,710,1.63,3,buy
7/06,2317,台新-台北,0039004200320030,26,2228,-2202,5.05,3,sell
7/06,2317,統一,5850,650,180,470,1.08,4,buy
7/06,2317,元大證券,9800,2243,2992,-749,1.72,4,sell
7/06,2317,富邦-陽明,9604,350,93,257,0.59,5,buy
7/06,2317,香港上海匯豐,8960,93,772,-679,1.56,5,sell
7/06,2317,國泰-敦南,8888,673,420,253,0.58,6,buy
7/06,2317,凱基-台北,9268,1336,1840,-504,1.16,6,sell
7/06,2317,玉山-台南,8847,259,29,230,0.53,7,buy
7/06,2317,摩根大通,8440,1042,1525,-483,1.11,7,sell
7/06,2317,富邦-新板,0039003600310048,255,26,229,0.52,8,buy
7/06,2317,新加坡商瑞銀,1650,1875,2281,-406,0.93,8,sell
7/06,2317,中國信託-新竹,6165,225,14,211,0.48,9,buy
7/06,2317,台灣摩根士丹利,1470,1743,2148,-405,0.93,9,sell
7/06,2317,富邦證券,9600,204,15,189,0.43,10,buy
7/06,2317,中國信託,6160,170,441,-271,0.62,10,sell
7/06,2317,第一金-忠孝,0035003300380044,209,34,175,0.4,11,buy
7/06,2317,富邦-頭份,0039003600320050,13,282,-269,0.62,11,sell
7/06,2317,元大-館前,003900380034004b,177,15,162,0.37,12,buy
7/06,2317,華南永昌-敦南,9347,4,215,-211,0.48,12,sell
7/06,2317,中國信託-高雄,003600310036004b,183,37,146,0.33,13,buy
7/06,2317,兆豐-岡山,0037003000300073,6,215,-209,0.48,13,sell
7/06,2317,聯邦證券,8580,205,74,131,0.3,14,buy
7/06,2317,合庫證券,1020,87,274,-187,0.43,14,sell
7/06,2317,富邦-仁愛,9676,134,13,121,0.28,15,buy
7/06,2317,元大-路竹,0039003800310043,41,180,-139,0.32,15,sell
7/06,2454,台灣摩根士丹利,1470,1242,122,1120,16.26,1,buy
7/06,2454,永豐金證券,0039004100300030,65,319,-254,3.69,1,sell
7/06,2454,美商高盛,1480,615,458,157,2.28,2,buy
7/06,2454,富邦證券,9600,103,347,-244,3.54,2,sell
7/06,2454,凱基-台北,9268,279,148,131,1.9,3,buy
7/06,2454,元大證券,9800,160,391,-231,3.35,3,sell
7/06,2454,新加坡商瑞銀,1650,333,206,127,1.84,4,buy
7/06,2454,摩根大通,8440,390,619,-229,3.33,4,sell
7/06,2454,中國信託,6160,107,42,65,0.94,5,buy
7/06,2454,凱基-三多,9275,1,164,-163,2.37,5,sell
7/06,2454,元大-台北,0039003800300068,62,8,54,0.78,6,buy
7/06,2454,香港上海匯豐,8960,4,161,-157,2.28,6,sell
7/06,2454,玉山證券,8840,76,46,30,0.44,7,buy
7/06,2454,統一,5850,31,157,-126,1.83,7,sell
7/06,2454,中國信託-文心,6164,31,7,24,0.35,8,buy
7/06,2454,富邦-台北,9623,11,127,-116,1.68,8,sell
7/06,2454,兆豐-桃鶯,0037003000300055,35,11,24,0.35,9,buy
7/06,2454,康和,8450,1,90,-89,1.29,9,sell
7/06,2454,元大-忠孝鼎富,0039003800320046,27,6,21,0.3,10,buy
7/06,2454,美林,1440,189,270,-81,1.18,10,sell
7/06,2454,國泰證券,8880,43,26,17,0.25,11,buy
7/06,2454,元大-忠孝,9871,6,44,-38,0.55,11,sell
7/06,2454,華南永昌,9300,40,24,16,0.23,12,buy
7/06,2454,元大-三重,0039003800380043,1,30,-29,0.42,12,sell
7/06,2454,第一金-新竹,0035003300380042,24,7,17,0.25,13,buy
7/06,2454,中國信託-忠孝,6162,5,31,-26,0.38,13,sell
7/06,2454,康和-延平,8451,16,0,16,0.23,14,buy
7/06,2454,元大-龍潭,9858,3,29,-26,0.38,14,sell
7/06,2454,國票-長城,0037003700390075,16,1,15,0.22,15,buy
7/06,2454,新光,8560,48,74,-26,0.38,15,sell
7/06,2308,美林,1440,567,223,344,3.86,1,buy
7/06,2308,美商高盛,1480,297,935,-638,7.16,1,sell
7/06,2308,永豐金證券,0039004100300030,338,135,203,2.28,2,buy
7/06,2308,摩根大通,8440,369,875,-506,5.68,2,sell
7/06,2308,富邦證券,9600,156,50,106,1.19,3,buy
7/06,2308,元大證券,9800,539,883,-344,3.86,3,sell
7/06,2308,華南永昌,9300,117,14,103,1.16,4,buy
7/06,2308,凱基,9200,32,262,-230,2.58,4,sell
7/06,2308,中國信託,6160,132,30,102,1.14,5,buy
7/06,2308,新加坡商瑞銀,1650,155,381,-226,2.54,5,sell
7/06,2308,元大-台北,0039003800300068,105,6,99,1.11,6,buy
7/06,2308,香港上海匯豐,8960,13,226,-213,2.39,6,sell
7/06,2308,凱基-站前,0039003200300046,100,7,93,1.04,7,buy
7/06,2308,台灣摩根士丹利,1470,508,663,-155,1.74,7,sell
7/06,2308,港商野村,1560,66,1,65,0.73,8,buy
7/06,2308,凱基-台北,9268,344,493,-149,1.67,8,sell
7/06,2308,永豐金-豐原,0039004100390051,62,0,62,0.7,9,buy
7/06,2308,永豐金-匯立,0039004100380031,56,176,-120,1.35,9,sell
7/06,2308,國泰-敦南,8888,214,156,58,0.65,10,buy
7/06,2308,宏遠-民生,1261,2,49,-47,0.53,10,sell
7/06,2308,統一,5850,103,46,57,0.64,11,buy
7/06,2308,花旗環球,1590,61,101,-40,0.45,11,sell
7/06,2308,台新-台北,0039004200320030,102,46,56,0.63,12,buy
7/06,2308,富邦-仁愛,9676,28,63,-35,0.39,12,sell
7/06,2308,國票-敦北法人,0037003700390063,53,3,50,0.56,13,buy
7/06,2308,華南永昌-民權,9312,1,30,-29,0.33,13,sell
7/06,2308,玉山證券,8840,59,14,45,0.5,14,buy
7/06,2308,港商麥格理,1360,5,29,-24,0.27,14,sell
7/06,2308,凱基-城中,9227,43,1,42,0.47,15,buy
7/06,2308,康和-永和,0038003400350042,0,20,-20,0.22,15,sell
7/06,2382,台新-台北,0039004200320030,2005,6,1999,8.19,1,buy
7/06,2382,台灣摩根士丹利,1470,1143,4049,-2906,11.9,1,sell
7/06,2382,永豐金證券,0039004100300030,1806,190,1616,6.62,2,buy
7/06,2382,美林,1440,470,1480,-1010,4.14,2,sell
7/06,2382,台新,0039004200300030,905,100,805,3.3,3,buy
7/06,2382,元大證券,9800,1539,2060,-521,2.13,3,sell
7/06,2382,群益金鼎,9100,729,76,653,2.67,4,buy
7/06,2382,摩根大通,8440,470,960,-490,2.01,4,sell
7/06,2382,富邦證券,9600,786,478,308,1.26,5,buy
7/06,2382,美商高盛,1480,536,902,-366,1.5,5,sell
7/06,2382,花旗環球,1590,467,232,235,0.96,6,buy
7/06,2382,第一金-中山,5389,92,409,-317,1.3,6,sell
7/06,2382,港商野村,1560,603,391,212,0.87,7,buy
7/06,2382,凱基-台北,9268,1330,1492,-162,0.66,7,sell
7/06,2382,土銀,1030,154,5,149,0.61,8,buy
7/06,2382,香港上海匯豐,8960,0,118,-118,0.48,8,sell
7/06,2382,新加坡商瑞銀,1650,548,402,146,0.6,9,buy
7/06,2382,元大-館前,003900380034004b,22,113,-91,0.37,9,sell
7/06,2382,台新-台中,0039004200310068,162,45,117,0.48,10,buy
7/06,2382,群益金鼎-東湖,003900310038004b,5,86,-81,0.33,10,sell
7/06,2382,群益金鼎-大甲,0039003100380067,114,5,109,0.45,11,buy
7/06,2382,富邦-陽明,9604,34,111,-77,0.32,11,sell
7/06,2382,新光,8560,243,144,99,0.41,12,buy
7/06,2382,第一金,5380,69,141,-72,0.29,12,sell
7/06,2382,群益金鼎-大安,0039003100380065,85,2,83,0.34,13,buy
7/06,2382,元大-龍潭,9858,26,95,-69,0.28,13,sell
7/06,2382,永豐金-板盛,0039004100390059,87,8,79,0.32,14,buy
7/06,2382,統一-板橋,0035003800350050,3,67,-64,0.26,14,sell
7/06,2382,兆豐證券,7000,75,0,75,0.31,15,buy
7/06,2382,凱基,9200,45,105,-60,0.25,15,sell
7/06,2891,國泰證券,8880,7410,2,7408,23.37,1,buy
7/06,2891,新加坡商瑞銀,1650,2298,6620,-4322,13.64,1,sell
7/06,2891,台灣摩根士丹利,1470,4513,1516,2997,9.46,2,buy
7/06,2891,新光-新竹,8563,13,1816,-1803,5.69,2,sell
7/06,2891,美商高盛,1480,4254,2417,1837,5.8,3,buy
7/06,2891,花旗環球,1590,427,1413,-986,3.11,3,sell
7/06,2891,富邦證券,9600,1696,93,1603,5.06,4,buy
7/06,2891,美林,1440,790,1632,-842,2.66,4,sell
7/06,2891,摩根大通,8440,2391,1711,680,2.15,5,buy
7/06,2891,元大證券,9800,1216,1540,-324,1.02,5,sell
7/06,2891,土銀,1030,639,5,634,2.0,6,buy
7/06,2891,中國信託,6160,11,320,-309,0.97,6,sell
7/06,2891,永豐金證券,0039004100300030,1180,557,623,1.97,7,buy
7/06,2891,元大-士林,003900380031006a,7,313,-306,0.97,7,sell
7/06,2891,凱基-台北,9268,1461,1173,288,0.91,8,buy
7/06,2891,元大-四維,9831,2,245,-243,0.77,8,sell
7/06,2891,群益金鼎,9100,349,126,223,0.7,9,buy
7/06,2891,華南永昌-中正,9359,0,204,-204,0.64,9,sell
7/06,2891,香港上海匯豐,8960,198,0,198,0.62,10,buy
7/06,2891,兆豐-員林,003700300030006b,2,200,-198,0.62,10,sell
7/06,2891,大展,5050,92,6,86,0.27,11,buy
7/06,2891,華南永昌-彰化,9363,0,192,-192,0.61,11,sell
7/06,2891,國泰-台中,8882,116,37,79,0.25,12,buy
7/06,2891,富邦-台北,9623,2,189,-187,0.59,12,sell
7/06,2891,兆豐-三民,0037003000300068,80,3,77,0.24,13,buy
7/06,2891,新光,8560,78,244,-166,0.52,13,sell
7/06,2891,富邦-南京,0039003600310043,123,54,69,0.22,14,buy
7/06,2891,富邦-敦南,9663,22,188,-166,0.52,14,sell
7/06,2891,群益金鼎-內湖,0039003100380064,68,3,65,0.21,15,buy
7/06,2891,兆豐-北高雄,0037003000300049,1,150,-149,0.47,15,sell
7/06,2881,花旗環球,1590,1778,248,1530,9.86,1,buy
7/06,2881,凱基,9200,52,1848,-1796,11.57,1,sell
7/06,2881,美商高盛,1480,1972,576,1396,8.99,2,buy
7/06,2881,玉山證券,8840,70,1250,-1180,7.6,2,sell
7/06,2881,台灣摩根士丹利,1470,2019,1212,807,5.2,3,buy
7/06,2881,凱基-台北,9268,216,1177,-961,6.19,3,sell
7/06,2881,新光-新竹,8563,497,3,494,3.18,4,buy
7/06,2881,摩根大通,8440,564,1223,-659,4.25,4,sell
7/06,2881,凱基-新莊,0039003200310053,304,0,304,1.96,5,buy
7/06,2881,元大證券,9800,1085,1524,-439,2.83,5,sell
7/06,2881,港商麥格理,1360,182,0,182,1.17,6,buy
7/06,2881,美林,1440,287,512,-225,1.45,6,sell
7/06,2881,群益金鼎,9100,181,15,166,1.07,7,buy
7/06,2881,土銀,1030,4,180,-176,1.13,7,sell
7/06,2881,凱基-大安,9291,150,0,150,0.97,8,buy
7/06,2881,新加坡商瑞銀,1650,906,1039,-133,0.86,8,sell
7/06,2881,台灣企銀-民雄,0031003100310041,135,1,134,0.86,9,buy
