date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/15,2330,新加坡商瑞銀,1650,1396,928,468,3.12,1,buy
9/15,2330,富邦證券,9600,33,1772,-1739,11.58,1,sell
9/15,2330,永豐金證券,0039004100300030,638,234,404,2.69,2,buy
9/15,2330,花旗環球,1590,587,2019,-1432,9.54,2,sell
9/15,2330,中國信託,6160,553,163,390,2.6,3,buy
9/15,2330,凱基-台北,9268,186,562,-376,2.5,3,sell
9/15,2330,美林,1440,641,544,97,0.65,4,buy
9/15,2330,元大證券,9800,709,1084,-375,2.5,4,sell
9/15,2330,台新,0039004200300030,109,12,97,0.65,5,buy
9/15,2330,摩根大通,8440,869,1237,-368,2.45,5,sell
9/15,2330,國泰-敦南,8888,155,61,94,0.63,6,buy
9/15,2330,美商高盛,1480,1267,1368,-101,0.67,6,sell
9/15,2330,國泰證券,8880,107,20,87,0.58,7,buy
9/15,2330,台灣摩根士丹利,1470,509,603,-94,0.63,7,sell
9/15,2330,土銀,1030,88,4,84,0.56,8,buy
9/15,2330,元大-忠孝鼎富,0039003800320046,2,87,-85,0.57,8,sell
9/15,2330,永豐金-匯立,0039004100380031,390,329,61,0.41,9,buy
9/15,2330,台新-嘉義,0039004200320049,4,71,-67,0.45,9,sell
9/15,2330,凱基-雙和,0039003200300043,55,2,53,0.35,10,buy
9/15,2330,陽信-石牌,8711,8,71,-63,0.42,10,sell
9/15,2330,永豐金-敦北,0039004100380039,53,8,45,0.3,11,buy
9/15,2330,港商麥格理,1360,139,197,-58,0.39,11,sell
9/15,2330,法銀巴黎,8900,490,449,41,0.27,12,buy
9/15,2330,元大-淡水,9899,4,37,-33,0.22,12,sell
9/15,2330,富邦-建國,9658,47,7,40,0.27,13,buy
9/15,2330,港商野村,1560,382,405,-23,0.15,13,sell
9/15,2330,中國信託-新竹,6165,40,1,39,0.26,14,buy
9/15,2330,統一-仁愛,0035003800350063,2,23,-21,0.14,14,sell
9/15,2330,新光,8560,85,48,37,0.25,15,buy
9/15,2330,群益金鼎-延平,0039003100380078,2,24,-22,0.15,15,sell
9/15,2317,國泰證券,8880,1018,2,1016,6.43,1,buy
9/15,2317,花旗環球,1590,291,1617,-1326,8.39,1,sell
9/15,2317,港商麥格理,1360,920,0,920,5.82,2,buy
9/15,2317,摩根大通,8440,803,2077,-1274,8.06,2,sell
9/15,2317,富邦證券,9600,465,32,433,2.74,3,buy
9/15,2317,法銀巴黎,8900,161,646,-485,3.07,3,sell
9/15,2317,永豐金-匯立,0039004100380031,291,16,275,1.74,4,buy
9/15,2317,美商高盛,1480,1172,1638,-466,2.95,4,sell
9/15,2317,永豐金證券,0039004100300030,337,96,241,1.52,5,buy
9/15,2317,元大證券,9800,603,1033,-430,2.72,5,sell
9/15,2317,港商野村,1560,914,772,142,0.9,6,buy
9/15,2317,凱基-台北,9268,329,567,-238,1.51,6,sell
9/15,2317,統一,5850,143,12,131,0.83,7,buy
9/15,2317,新加坡商瑞銀,1650,704,917,-213,1.35,7,sell
9/15,2317,台新,0039004200300030,262,136,126,0.8,8,buy
9/15,2317,凱基,9200,58,204,-146,0.92,8,sell
9/15,2317,台灣摩根士丹利,1470,902,777,125,0.79,9,buy
9/15,2317,第一金-忠孝,0035003300380044,142,236,-94,0.59,9,sell
