date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/07,2330,摩根大通,8440,4104,303,3801,14.25,1,buy
9/07,2330,國泰-敦南,8888,89,833,-744,2.79,1,sell
9/07,2330,新加坡商瑞銀,1650,2894,443,2451,9.19,2,buy
9/07,2330,凱基-雙和,0039003200300043,1,574,-573,2.15,2,sell
9/07,2330,美商高盛,1480,2552,152,2400,9.0,3,buy
9/07,2330,港商野村,1560,172,713,-541,2.03,3,sell
9/07,2330,元大證券,9800,2424,203,2221,8.33,4,buy
9/07,2330,台新,0039004200300030,148,525,-377,1.41,4,sell
9/07,2330,凱基-台北,9268,1924,167,1757,6.59,5,buy
9/07,2330,新光,8560,45,264,-219,0.82,5,sell
9/07,2330,港商麥格理,1360,2093,459,1634,6.13,6,buy
9/07,2330,國泰-板橋,003800380038004b,27,236,-209,0.78,6,sell
9/07,2330,台灣摩根士丹利,1470,1458,102,1356,5.08,7,buy
9/07,2330,彰銀,1230,3,184,-181,0.68,7,sell
9/07,2330,美林,1440,1359,41,1318,4.94,8,buy
9/07,2330,凱基-信義,9216,54,212,-158,0.59,8,sell
9/07,2330,永豐金證券,0039004100300030,584,194,390,1.46,9,buy
9/07,2330,國泰-台中,8882,17,172,-155,0.58,9,sell
9/07,2330,花旗環球,1590,406,56,350,1.31,10,buy
9/07,2330,第一金-彰化,5386,0,153,-153,0.57,10,sell
9/07,2330,富邦證券,9600,752,419,333,1.25,11,buy
9/07,2330,元大-天母,0039003800310049,5,158,-153,0.57,11,sell
9/07,2330,國泰證券,8880,219,28,191,0.72,12,buy
9/07,2330,富邦-南京,0039003600310043,3,149,-146,0.55,12,sell
9/07,2330,台灣企銀,1110,201,13,188,0.7,13,buy
9/07,2330,國泰-館前,0038003800380041,14,160,-146,0.55,13,sell
9/07,2330,群益金鼎,9100,247,67,180,0.67,14,buy
9/07,2330,中國信託,6160,65,193,-128,0.48,14,sell
9/07,2330,凱基-站前,0039003200300046,258,98,160,0.6,15,buy
9/07,2330,元大-新竹經國,9859,7,120,-113,0.42,15,sell
9/07,2317,美林,1440,5264,490,4774,14.03,1,buy
9/07,2317,摩根大通,8440,775,5520,-4745,13.94,1,sell
9/07,2317,富邦證券,9600,1528,831,697,2.05,2,buy
9/07,2317,美商高盛,1480,1259,3651,-2392,7.03,2,sell
9/07,2317,永豐金證券,0039004100300030,718,150,568,1.67,3,buy
9/07,2317,新加坡商瑞銀,1650,868,1911,-1043,3.07,3,sell
9/07,2317,凱基,9200,604,91,513,1.51,4,buy
9/07,2317,台灣摩根士丹利,1470,939,1727,-788,2.32,4,sell
9/07,2317,花旗環球,1590,592,122,470,1.38,5,buy
9/07,2317,元大-華山,0039003800310055,8,519,-511,1.5,5,sell
9/07,2317,凱基-台北,9268,1052,758,294,0.86,6,buy
9/07,2317,康和,8450,2,499,-497,1.46,6,sell
9/07,2317,港商麥格理,1360,320,51,269,0.79,7,buy
9/07,2317,台新,0039004200300030,198,557,-359,1.06,7,sell
9/07,2317,兆豐-三民,0037003000300068,226,23,203,0.6,8,buy
9/07,2317,統一,5850,53,305,-252,0.74,8,sell
9/07,2317,國泰-敦南,8888,465,299,166,0.49,9,buy
9/07,2317,國票-桃園,0037003700390072,1,202,-201,0.59,9,sell
9/07,2317,群益金鼎-古亭,0039003100380043,165,25,140,0.41,10,buy
9/07,2317,永豐金-松山,0039004100390031,19,196,-177,0.52,10,sell
9/07,2317,兆豐-南門,0037003000300067,129,7,122,0.36,11,buy
9/07,2317,群益金鼎,9100,124,216,-92,0.27,11,sell
9/07,2317,華南永昌-台中,9302,161,46,115,0.34,12,buy
9/07,2317,元大-北屯,0039003800390064,19,99,-80,0.24,12,sell
9/07,2317,永豐金-匯立,0039004100380031,114,0,114,0.34,13,buy
9/07,2317,統一-三重,003500380035004a,3,73,-70,0.21,13,sell
9/07,2317,港商野村,1560,449,366,83,0.24,14,buy
9/07,2317,合庫-台中,1021,47,117,-70,0.21,14,sell
9/07,2317,宏遠-館前,0031003200360055,113,35,78,0.23,15,buy
9/07,2317,富邦-新板,0039003600310048,14,78,-64,0.19,15,sell
9/07,2454,元大證券,9800,2875,1142,1733,10.11,1,buy
9/07,2454,國泰-敦南,8888,151,375,-224,1.31,1,sell
9/07,2454,統一,5850,671,118,553,3.23,2,buy
9/07,2454,永豐金-內湖,0039004100390067,16,230,-214,1.25,2,sell
9/07,2454,富邦證券,9600,757,266,491,2.86,3,buy
9/07,2454,美商高盛,1480,934,1061,-127,0.74,3,sell
9/07,2454,國票-敦北法人,0037003700390063,492,44,448,2.61,4,buy
9/07,2454,宏遠證券,1260,22,123,-101,0.59,4,sell
9/07,2454,永豐金證券,0039004100300030,656,218,438,2.56,5,buy
9/07,2454,新光,8560,82,151,-69,0.4,5,sell
9/07,2454,新加坡商瑞銀,1650,775,368,407,2.37,6,buy
9/07,2454,凱基-站前,0039003200300046,26,95,-69,0.4,6,sell
9/07,2454,台灣摩根士丹利,1470,895,605,290,1.69,7,buy
9/07,2454,富邦-台北,9623,46,113,-67,0.39,7,sell
9/07,2454,美林,1440,514,243,271,1.58,8,buy
9/07,2454,永豐金-匯立,0039004100380031,6,71,-65,0.38,8,sell
9/07,2454,港商麥格理,1360,275,13,262,1.53,9,buy
9/07,2454,國泰-板橋,003800380038004b,44,108,-64,0.37,9,sell
9/07,2454,凱基-台北,9268,540,334,206,1.2,10,buy
9/07,2454,群益金鼎-忠孝,0039003100380057,56,114,-58,0.34,10,sell
9/07,2454,法銀巴黎,8900,155,1,154,0.9,11,buy
9/07,2454,國泰-館前,0038003800380041,37,93,-56,0.33,11,sell
9/07,2454,花旗環球,1590,170,35,135,0.79,12,buy
9/07,2454,富邦-新竹,9647,33,83,-50,0.29,12,sell
9/07,2454,凱基-信義,9216,124,4,120,0.7,13,buy
9/07,2454,統一-城中,5854,13,59,-46,0.27,13,sell
9/07,2454,國泰證券,8880,100,16,84,0.49,14,buy
9/07,2454,統一-新台中,0035003800350044,2,47,-45,0.26,14,sell
9/07,2454,土銀,1030,104,32,72,0.42,15,buy
9/07,2454,永豐金-台南,0039004100390068,7,50,-43,0.25,15,sell
9/07,2308,凱基-文心,9297,315,7,308,4.07,1,buy
9/07,2308,美林,1440,114,352,-238,3.15,1,sell
9/07,2308,宏遠證券,1260,194,2,192,2.54,2,buy
9/07,2308,新加坡商瑞銀,1650,462,609,-147,1.94,2,sell
9/07,2308,富邦證券,9600,276,100,176,2.33,3,buy
9/07,2308,國票-敦北法人,0037003700390063,25,125,-100,1.32,3,sell
9/07,2308,永豐金證券,0039004100300030,233,73,160,2.12,4,buy
9/07,2308,台灣摩根士丹利,1470,527,601,-74,0.98,4,sell
9/07,2308,摩根大通,8440,459,307,152,2.01,5,buy
9/07,2308,富邦-台北,9623,22,90,-68,0.9,5,sell
9/07,2308,宏遠-民生,1261,141,3,138,1.83,6,buy
9/07,2308,港商野村,1560,90,152,-62,0.82,6,sell
9/07,2308,群益金鼎-忠孝,0039003100380057,128,3,125,1.65,7,buy
9/07,2308,國泰-敦南,8888,123,164,-41,0.54,7,sell
9/07,2308,花旗環球,1590,135,17,118,1.56,8,buy
9/07,2308,新百王,6210,4,41,-37,0.49,8,sell
9/07,2308,國泰證券,8880,97,4,93,1.23,9,buy
9/07,2308,臺銀-民權,1043,2,30,-28,0.37,9,sell
9/07,2308,元大證券,9800,544,455,89,1.18,10,buy
9/07,2308,元大-左營,0039003800390044,1,23,-22,0.29,10,sell
9/07,2308,永豐金-匯立,0039004100380031,86,14,72,0.95,11,buy
9/07,2308,玉山-左營,0038003800340044,3,23,-20,0.26,11,sell
9/07,2308,台新-台北,0039004200320030,65,6,59,0.78,12,buy
9/07,2308,台新-台南,0039004200310036,7,25,-18,0.24,12,sell
9/07,2308,凱基,9200,95,36,59,0.78,13,buy
9/07,2308,群益金鼎,9100,52,70,-18,0.24,13,sell
9/07,2308,元大-復北,9872,55,8,47,0.62,14,buy
9/07,2308,中國信託-永康,6163,2,20,-18,0.24,14,sell
9/07,2308,港商麥格理,1360,63,16,47,0.62,15,buy
9/07,2308,元大-南京,9862,3,18,-15,0.2,15,sell
9/07,2382,新加坡商瑞銀,1650,2698,1578,1120,8.26,1,buy
