date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/19,2330,大和國泰,8890,1047,0,1047,4.51,1,buy
8/19,2330,美商高盛,1480,749,3649,-2900,12.5,1,sell
8/19,2330,永豐金-匯立,0039004100380031,891,247,644,2.77,2,buy
8/19,2330,摩根大通,8440,1443,3542,-2099,9.04,2,sell
8/19,2330,富邦證券,9600,573,160,413,1.78,3,buy
8/19,2330,凱基-台北,9268,370,1687,-1317,5.67,3,sell
8/19,2330,元大證券,9800,1315,941,374,1.61,4,buy
8/19,2330,花旗環球,1590,408,1423,-1015,4.37,4,sell
8/19,2330,國泰-敦南,8888,360,87,273,1.18,5,buy
8/19,2330,港商麥格理,1360,434,1100,-666,2.87,5,sell
8/19,2330,宏遠證券,1260,245,9,236,1.02,6,buy
8/19,2330,永豐金證券,0039004100300030,276,940,-664,2.86,6,sell
8/19,2330,凱基,9200,273,107,166,0.72,7,buy
8/19,2330,美林,1440,263,793,-530,2.28,7,sell
8/19,2330,華南永昌,9300,192,31,161,0.69,8,buy
8/19,2330,國泰證券,8880,33,430,-397,1.71,8,sell
8/19,2330,台灣摩根士丹利,1470,1603,1443,160,0.69,9,buy
8/19,2330,新加坡商瑞銀,1650,1108,1451,-343,1.48,9,sell
8/19,2330,港商野村,1560,340,214,126,0.54,10,buy
8/19,2330,法銀巴黎,8900,110,412,-302,1.3,10,sell
8/19,2330,第一金-彰化,5386,120,0,120,0.52,11,buy
8/19,2330,香港上海匯豐,8960,74,185,-111,0.48,11,sell
8/19,2330,群益金鼎-崇德,0039003100330055,110,0,110,0.47,12,buy
8/19,2330,統一,5850,300,367,-67,0.29,12,sell
8/19,2330,兆豐證券,7000,249,153,96,0.41,13,buy
8/19,2330,國票證券,7790,23,78,-55,0.24,13,sell
8/19,2330,新光,8560,131,43,88,0.38,14,buy
8/19,2330,永豐金-敦南,0039004100380046,28,73,-45,0.19,14,sell
8/19,2330,合庫證券,1020,89,19,70,0.3,15,buy
8/19,2330,凱基-三多,9275,8,48,-40,0.17,15,sell
8/19,2317,元大-府城,0039003800300075,1121,5,1116,3.07,1,buy
8/19,2317,摩根大通,8440,411,6378,-5967,16.43,1,sell
8/19,2317,香港上海匯豐,8960,1053,84,969,2.67,2,buy
8/19,2317,台灣摩根士丹利,1470,507,3596,-3089,8.5,2,sell
8/19,2317,大和國泰,8890,531,0,531,1.46,3,buy
8/19,2317,永豐金-匯立,0039004100380031,0,2101,-2101,5.78,3,sell
8/19,2317,凱基,9200,505,17,488,1.34,4,buy
8/19,2317,永豐金證券,0039004100300030,249,2077,-1828,5.03,4,sell
8/19,2317,華南永昌,9300,358,61,297,0.82,5,buy
8/19,2317,花旗環球,1590,223,837,-614,1.69,5,sell
8/19,2317,群益金鼎,9100,706,450,256,0.7,6,buy
8/19,2317,華南永昌-南京,9326,22,570,-548,1.51,6,sell
8/19,2317,國泰-敦南,8888,489,246,243,0.67,7,buy
8/19,2317,新加坡商瑞銀,1650,2509,2913,-404,1.11,7,sell
8/19,2317,台新,0039004200300030,548,322,226,0.62,8,buy
8/19,2317,中國信託,6160,185,579,-394,1.08,8,sell
8/19,2317,元大證券,9800,1787,1562,225,0.62,9,buy
8/19,2317,大昌-樹林,6461,27,349,-322,0.89,9,sell
