date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/16,2330,美林,1440,1172,544,628,3.01,1,buy
9/16,2330,台灣摩根士丹利,1470,485,3728,-3243,15.54,1,sell
9/16,2330,花旗環球,1590,1112,852,260,1.25,2,buy
9/16,2330,摩根大通,8440,1754,3914,-2160,10.35,2,sell
9/16,2330,國泰-敦南,8888,364,141,223,1.07,3,buy
9/16,2330,元大證券,9800,1065,2423,-1358,6.51,3,sell
9/16,2330,凱基-台北,9268,696,546,150,0.72,4,buy
9/16,2330,美商高盛,1480,407,1379,-972,4.66,4,sell
9/16,2330,統一,5850,183,44,139,0.67,5,buy
9/16,2330,法銀巴黎,8900,140,1076,-936,4.48,5,sell
9/16,2330,玉山證券,8840,110,4,106,0.51,6,buy
9/16,2330,香港上海匯豐,8960,69,351,-282,1.35,6,sell
9/16,2330,福邦證券,6480,105,0,105,0.5,7,buy
9/16,2330,富邦證券,9600,677,940,-263,1.26,7,sell
9/16,2330,凱基-雙和,0039003200300043,106,1,105,0.5,8,buy
9/16,2330,永豐金證券,0039004100300030,331,440,-109,0.52,8,sell
9/16,2330,台灣企銀,1110,106,2,104,0.5,9,buy
9/16,2330,新加坡商瑞銀,1650,1068,1149,-81,0.39,9,sell
9/16,2330,新光,8560,133,32,101,0.48,10,buy
9/16,2330,國泰證券,8880,119,191,-72,0.34,10,sell
9/16,2330,國泰-台中,8882,109,12,97,0.46,11,buy
9/16,2330,台中銀-台北,6115,7,78,-71,0.34,11,sell
9/16,2330,中國信託,6160,264,169,95,0.46,12,buy
9/16,2330,凱基,9200,89,156,-67,0.32,12,sell
9/16,2330,兆豐證券,7000,95,4,91,0.44,13,buy
9/16,2330,港商麥格理,1360,27,79,-52,0.25,13,sell
9/16,2330,宏遠證券,1260,133,43,90,0.43,14,buy
9/16,2330,港商野村,1560,369,419,-50,0.24,14,sell
9/16,2330,群益金鼎,9100,95,13,82,0.39,15,buy
9/16,2330,元大-竹科,003900380030004b,28,68,-40,0.19,15,sell
9/16,2317,美商高盛,1480,2420,1244,1176,5.96,1,buy
9/16,2317,凱基,9200,602,3371,-2769,14.03,1,sell
9/16,2317,國票-敦北法人,0037003700390063,985,11,974,4.93,2,buy
9/16,2317,摩根大通,8440,1571,3114,-1543,7.82,2,sell
9/16,2317,美林,1440,1091,214,877,4.44,3,buy
9/16,2317,花旗環球,1590,728,2058,-1330,6.74,3,sell
9/16,2317,永豐金證券,0039004100300030,922,154,768,3.89,4,buy
9/16,2317,凱基-台北,9268,258,1394,-1136,5.76,4,sell
9/16,2317,元大證券,9800,969,447,522,2.64,5,buy
9/16,2317,台灣摩根士丹利,1470,1143,1660,-517,2.62,5,sell
9/16,2317,新加坡商瑞銀,1650,921,577,344,1.74,6,buy
9/16,2317,元大-和平,9863,4,164,-160,0.81,6,sell
9/16,2317,台新-台北,0039004200320030,256,4,252,1.28,7,buy
9/16,2317,凱基-高美館,9215,38,172,-134,0.68,7,sell
9/16,2317,台新,0039004200300030,386,157,229,1.16,8,buy
9/16,2317,香港上海匯豐,8960,40,157,-117,0.59,8,sell
9/16,2317,玉山證券,8840,147,6,141,0.71,9,buy
9/16,2317,富邦證券,9600,39,157,-118,0.6,9,sell
9/16,2317,永豐金-匯立,0039004100380031,121,33,88,0.45,10,buy
9/16,2317,中國信託,6160,73,147,-74,0.37,10,sell
9/16,2317,兆豐-埔墘,003700300030004e,74,0,74,0.37,11,buy
9/16,2317,群益金鼎,9100,5,70,-65,0.33,11,sell
9/16,2317,第一金,5380,64,7,57,0.29,12,buy
9/16,2317,陽信,8710,3,57,-54,0.27,12,sell
9/16,2317,台新-緯城,0039004200320041,59,3,56,0.28,13,buy
9/16,2317,元大-台中中港,0039003800390042,8,60,-52,0.26,13,sell
