date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/07,2330,摩根大通,8440,3110,970,2140,9.36,1,buy
8/07,2330,台灣摩根士丹利,1470,641,2846,-2205,9.64,1,sell
8/07,2330,港商麥格理,1360,1933,279,1654,7.23,2,buy
8/07,2330,大和國泰,8890,1,1998,-1997,8.73,2,sell
8/07,2330,新加坡商瑞銀,1650,1185,549,636,2.78,3,buy
8/07,2330,美商高盛,1480,464,2292,-1828,7.99,3,sell
8/07,2330,凱基,9200,632,51,581,2.54,4,buy
8/07,2330,美林,1440,689,1364,-675,2.95,4,sell
8/07,2330,永豐金-匯立,0039004100380031,635,97,538,2.35,5,buy
8/07,2330,港商野村,1560,337,846,-509,2.23,5,sell
8/07,2330,花旗環球,1590,2483,2011,472,2.06,6,buy
8/07,2330,富邦證券,9600,434,694,-260,1.14,6,sell
8/07,2330,統一,5850,596,153,443,1.94,7,buy
8/07,2330,兆豐證券,7000,21,273,-252,1.1,7,sell
8/07,2330,元大證券,9800,1635,1344,291,1.27,8,buy
8/07,2330,宏遠證券,1260,37,273,-236,1.03,8,sell
8/07,2330,永豐金證券,0039004100300030,342,165,177,0.77,9,buy
8/07,2330,群益金鼎-北高雄,0039003100330052,3,212,-209,0.91,9,sell
8/07,2330,國泰證券,8880,392,232,160,0.7,10,buy
8/07,2330,凱基-站前,0039003200300046,20,102,-82,0.36,10,sell
8/07,2330,德信,6910,151,1,150,0.66,11,buy
8/07,2330,第一金-高雄,5383,3,63,-60,0.26,11,sell
8/07,2330,香港上海匯豐,8960,383,238,145,0.63,12,buy
8/07,2330,群益金鼎-敦南,9101,8,60,-52,0.23,12,sell
8/07,2330,中國信託,6160,127,12,115,0.5,13,buy
8/07,2330,永豐金-天母,0039004100390047,2,53,-51,0.22,13,sell
8/07,2330,凱基-台北,9268,868,754,114,0.5,14,buy
8/07,2330,凱基-信義,9216,2,50,-48,0.21,14,sell
8/07,2330,華南永昌-世貿,9334,106,2,104,0.45,15,buy
8/07,2330,永豐金-萬盛,0039004100390032,8,55,-47,0.21,15,sell
8/07,2317,港商麥格理,1360,1201,13,1188,3.06,1,buy
8/07,2317,新加坡商瑞銀,1650,870,2563,-1693,4.36,1,sell
8/07,2317,凱基-台北,9268,2540,1727,813,2.09,2,buy
8/07,2317,富邦證券,9600,31,1467,-1436,3.7,2,sell
8/07,2317,永豐金證券,0039004100300030,1233,494,739,1.9,3,buy
8/07,2317,台灣摩根士丹利,1470,2044,3178,-1134,2.92,3,sell
8/07,2317,美林,1440,1029,526,503,1.3,4,buy
8/07,2317,元大證券,9800,2619,3745,-1126,2.9,4,sell
8/07,2317,台灣企銀,1110,423,7,416,1.07,5,buy
8/07,2317,台新,0039004200300030,452,1508,-1056,2.72,5,sell
8/07,2317,香港上海匯豐,8960,349,0,349,0.9,6,buy
8/07,2317,美商高盛,1480,1303,2313,-1010,2.6,6,sell
8/07,2317,元大-松江,9801,260,8,252,0.65,7,buy
8/07,2317,摩根大通,8440,1224,2162,-938,2.42,7,sell
8/07,2317,永豐金-匯立,0039004100380031,231,0,231,0.6,8,buy
8/07,2317,花旗環球,1590,874,1676,-802,2.07,8,sell
8/07,2317,兆豐-新竹,0037003000300056,216,11,205,0.53,9,buy
8/07,2317,凱基-虎尾,9236,4,436,-432,1.11,9,sell
8/07,2317,富邦-頭份,0039003600320050,213,18,195,0.5,10,buy
8/07,2317,宏遠-館前,0031003200360055,40,390,-350,0.9,10,sell
8/07,2317,國泰-敦南,8888,631,493,138,0.36,11,buy
8/07,2317,臺銀,1040,137,352,-215,0.55,11,sell
8/07,2317,永豐金-敦南,0039004100380046,149,22,127,0.33,12,buy
8/07,2317,統一-三多,0035003800350051,20,230,-210,0.54,12,sell
