date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
7/24,2330,永豐金證券,0039004100300030,1471,142,1329,5.41,1,buy
7/24,2330,摩根大通,8440,1051,5267,-4216,17.15,1,sell
7/24,2330,元大證券,9800,1821,1030,791,3.22,2,buy
7/24,2330,永豐金-匯立,0039004100380031,258,2584,-2326,9.46,2,sell
7/24,2330,富邦證券,9600,1112,338,774,3.15,3,buy
7/24,2330,台灣摩根士丹利,1470,485,2304,-1819,7.4,3,sell
7/24,2330,花旗環球,1590,1344,727,617,2.51,4,buy
7/24,2330,凱基-台北,9268,884,2073,-1189,4.84,4,sell
7/24,2330,港商野村,1560,639,130,509,2.07,5,buy
7/24,2330,美林,1440,509,1442,-933,3.79,5,sell
7/24,2330,群益金鼎,9100,378,15,363,1.48,6,buy
7/24,2330,美商高盛,1480,597,1353,-756,3.07,6,sell
7/24,2330,大和國泰,8890,292,26,266,1.08,7,buy
7/24,2330,統一,5850,73,426,-353,1.44,7,sell
7/24,2330,國泰-敦南,8888,349,115,234,0.95,8,buy
7/24,2330,新加坡商瑞銀,1650,1118,1465,-347,1.41,8,sell
7/24,2330,凱基-三多,9275,155,0,155,0.63,9,buy
7/24,2330,凱基,9200,105,221,-116,0.47,9,sell
7/24,2330,兆豐證券,7000,208,77,131,0.53,10,buy
7/24,2330,香港上海匯豐,8960,201,313,-112,0.46,10,sell
7/24,2330,臺銀,1040,133,23,110,0.45,11,buy
7/24,2330,凱基-城中,9227,11,114,-103,0.42,11,sell
7/24,2330,台新,0039004200300030,143,38,105,0.43,12,buy
7/24,2330,華南永昌,9300,69,148,-79,0.32,12,sell
7/24,2330,宏遠證券,1260,125,42,83,0.34,13,buy
7/24,2330,(牛牛牛)亞證券,6010,0,40,-40,0.16,13,sell
7/24,2330,新光,8560,154,79,75,0.31,14,buy
7/24,2330,元大-台中,9812,14,53,-39,0.16,14,sell
7/24,2330,國泰-台中,8882,96,25,71,0.29,15,buy
7/24,2330,兆豐-鹿港,0037003000300066,5,41,-36,0.15,15,sell
7/24,2317,台灣摩根士丹利,1470,1837,937,900,2.68,1,buy
7/24,2317,花旗環球,1590,382,2049,-1667,4.96,1,sell
7/24,2317,富邦證券,9600,430,42,388,1.15,2,buy
7/24,2317,新加坡商瑞銀,1650,961,2513,-1552,4.61,2,sell
7/24,2317,香港上海匯豐,8960,371,90,281,0.84,3,buy
7/24,2317,國票-博愛,003700370039007a,23,1217,-1194,3.55,3,sell
7/24,2317,港商麥格理,1360,316,50,266,0.79,4,buy
7/24,2317,元大證券,9800,3037,4049,-1012,3.01,4,sell
7/24,2317,玉山-高雄,8843,231,17,214,0.64,5,buy
7/24,2317,美林,1440,1051,1986,-935,2.78,5,sell
7/24,2317,台新-三民,0039004200310033,224,15,209,0.62,6,buy
7/24,2317,國泰證券,8880,22,522,-500,1.49,6,sell
7/24,2317,統一-新竹,5857,212,9,203,0.6,7,buy
7/24,2317,美商高盛,1480,1811,2221,-410,1.22,7,sell
7/24,2317,康和,8450,202,1,201,0.6,8,buy
7/24,2317,摩根大通,8440,1546,1893,-347,1.03,8,sell
7/24,2317,群益金鼎,9100,523,339,184,0.55,9,buy
7/24,2317,港商野村,1560,182,520,-338,1.0,9,sell
7/24,2317,合庫-台中,1021,180,19,161,0.48,10,buy
7/24,2317,台新-緯城,0039004200320041,8,298,-290,0.86,10,sell
7/24,2317,富邦-仁愛,9676,159,24,135,0.4,11,buy
7/24,2317,凱基-台北,9268,1738,2017,-279,0.83,11,sell
7/24,2317,國泰-敦南,8888,441,320,121,0.36,12,buy
7/24,2317,群益金鼎-大甲,0039003100380067,24,268,-244,0.73,12,sell
7/24,2317,元大-新竹經國,9859,131,15,116,0.34,13,buy
7/24,2317,永豐金-內湖,0039004100390067,10,168,-158,0.47,13,sell
7/24,2317,群益金鼎-永和,003900310038004a,103,6,97,0.29,14,buy
7/24,2317,兆豐證券,7000,62,191,-129,0.38,14,sell
7/24,2317,元大-大益,9814,94,2,92,0.27,15,buy
7/24,2317,台新-松德,0039004200320061,17,115,-98,0.29,15,sell
7/24,2454,摩根大通,8440,1031,589,442,4.92,1,buy
7/24,2454,法銀巴黎,8900,48,552,-504,5.61,1,sell
7/24,2454,港商野村,1560,281,97,184,2.05,2,buy
7/24,2454,永豐金-匯立,0039004100380031,19,422,-403,4.49,2,sell
7/24,2454,富邦證券,9600,191,22,169,1.88,3,buy
7/24,2454,台灣摩根士丹利,1470,678,1070,-392,4.37,3,sell
7/24,2454,群益金鼎,9100,186,38,148,1.65,4,buy
7/24,2454,中國信託,6160,27,289,-262,2.92,4,sell
7/24,2454,永豐金證券,0039004100300030,264,127,137,1.53,5,buy
7/24,2454,凱基,9200,141,342,-201,2.24,5,sell
7/24,2454,元大證券,9800,548,444,104,1.16,6,buy
7/24,2454,凱基-台北,9268,439,627,-188,2.09,6,sell
7/24,2454,兆豐-高雄,003700300030005a,107,8,99,1.1,7,buy
